CustomerID,Gender,Age,AnnualIncome_k,PurchaseFrequency,AverageOrderValue,WebsiteVisitsPerMonth,DiscountUsagePct,SpendingScore
1001,Female,51,22.1,2.8,22.28,6.2,90.3,47.5
1002,Male,36,71.4,4.3,64.97,17.7,49.6,73.8
1003,Female,41,85.6,5.0,69.1,18.1,53.6,83.3
1004,Female,34,75.5,5.5,52.93,16.6,31.4,76.5
1005,Male,33,82.7,3.4,66.54,17.4,42.6,78.9
1006,Female,26,25.7,4.1,38.28,11.6,65.6,57.4
1007,Female,40,74.3,2.0,52.49,21.2,76.2,58.9
1008,Female,26,56.5,4.3,40.21,21.7,58.1,58.8
1009,Male,42,51.5,3.5,26.99,14.2,79.2,45.2
1010,Female,47,89.4,3.5,83.14,22.8,59.3,42.1
1011,Male,39,106.4,5.2,96.98,17.3,68.7,57.6
1012,Female,32,115.2,4.8,97.05,25.7,40.1,72.5
1013,Female,40,101.8,3.5,101.54,16.4,81.4,70.7
1014,Female,32,61.9,3.3,59.82,20.9,47.0,77.2
1015,Male,45,74.9,2.3,73.74,28.0,41.5,53.2
1016,Male,18,86.5,5.6,79.69,17.8,27.9,88.0
1017,Female,31,68.4,2.4,60.81,5.2,87.5,72.9
1018,Male,18,68.7,5.5,53.1,13.5,62.8,63.1
1019,Female,19,88.1,3.3,115.12,24.7,40.8,78.2
1020,Female,50,63.3,2.6,51.01,18.4,75.4,44.9
1021,Female,45,44.6,2.0,35.0,14.6,70.9,62.6
1022,Male,27,53.4,5.7,60.52,19.5,85.2,68.0
1023,Female,18,82.7,5.4,76.29,20.3,23.8,53.5
1024,Female,18,65.1,4.0,35.03,21.9,47.4,65.2
1025,Female,29,74.5,5.1,86.63,21.5,43.8,88.8
1026,Male,62,83.8,1.0,70.77,25.7,23.7,46.1
1027,Female,40,54.5,3.3,33.43,16.3,73.3,56.9
1028,Male,29,86.2,7.8,95.43,22.9,43.7,81.0
1029,Male,40,75.6,4.3,78.4,15.5,63.2,43.7
1030,Female,18,30.4,3.2,15.0,8.6,95.5,56.9
1031,Female,32,105.4,6.2,118.5,29.2,38.2,54.8
1032,Female,36,51.0,4.7,63.01,15.2,51.3,43.4
1033,Male,34,18.7,1.0,29.97,14.3,67.2,52.0
1034,Male,44,35.7,1.0,69.83,12.9,77.5,43.6
1035,Female,39,36.4,3.1,44.53,9.4,53.2,39.3
1036,Male,42,66.5,2.7,60.72,16.0,45.2,59.4
1037,Male,27,57.3,5.8,43.36,22.1,70.6,59.1
1038,Female,45,55.6,2.8,64.61,17.4,63.5,48.2
1039,Male,53,82.4,1.2,80.14,9.3,21.7,61.7
1040,Female,24,74.5,2.6,66.69,15.9,31.6,50.7
1041,Male,25,73.8,1.0,51.75,25.8,72.8,58.9
1042,Female,50,76.5,3.6,70.06,16.1,59.4,50.2
1043,Female,33,82.3,4.3,70.24,8.9,37.9,40.3
1044,Male,50,15.0,1.1,10.0,19.3,66.2,15.3
1045,Female,30,54.8,5.3,27.13,18.0,56.0,80.7
1046,Female,51,15.0,3.5,37.92,9.4,79.9,38.6
1047,Male,36,66.0,3.7,14.07,14.1,33.5,36.4
1048,Male,38,64.9,1.0,63.88,21.2,41.9,27.5
1049,Female,52,94.3,5.4,70.69,16.6,53.3,61.8
1050,Male,31,98.3,6.0,105.44,25.5,43.6,96.7
1051,Male,25,70.7,4.8,55.07,19.2,59.7,60.9
1052,Male,30,51.0,5.0,63.02,15.3,38.3,75.0
1053,Female,40,78.6,2.5,61.95,18.2,56.7,62.5
1054,Female,18,50.2,6.8,52.68,13.1,71.5,69.4
1055,Female,42,65.0,2.3,73.51,21.0,62.4,31.4
1056,Female,29,92.6,6.1,69.86,14.8,48.3,86.2
1057,Female,48,49.4,1.0,68.05,5.8,58.4,36.7
1058,Female,18,87.6,3.7,57.05,21.6,33.3,83.1
1059,Male,26,84.0,7.1,77.9,21.2,46.8,59.7
